Epoch,Reconstruction Loss,KL Divergence,Total Loss
0,928489.375,1190976.0,928489.375
10,259966.375,596411.375,289786.94375
20,257634.53125,431418.5625,300776.3875
30,235321.359375,348282.25,287563.696875
40,225485.03125,299084.875,285302.00625
50,232795.421875,268150.875,299833.140625
60,219401.34375,242698.609375,292210.9265625
70,220976.84375,224689.375,299618.125
80,221670.765625,211195.46875,306148.953125
90,223336.328125,197927.21875,312403.5765625
99,223119.8125,193321.5625,318813.9859375
100,228899.59375,186949.375,322374.28125
110,229319.25,177717.09375,327063.6515625
120,230497.1875,170292.6875,332672.8
130,233486.9375,160921.125,338085.66875
140,236917.21875,155313.6875,345636.80000000005
150,237639.4375,149839.59375,350019.1328125
160,238433.34375,145855.46875,355117.71875
170,241108.71875,141792.40625,361632.2640625
180,245894.0,135523.6875,367865.31875
190,247557.3125,131023.0625,372029.221875
199,250103.15625,127527.3125,376992.83218749997
