started latent_dim 256
Epoch 0  Loss:2216432.5
Epoch 10  Loss:900998.4375
Epoch 20  Loss:791356.125
Epoch 30  Loss:732988.25
Epoch 40  Loss:701116.5
Epoch 50  Loss:680322.5
Epoch 60  Loss:666061.8125
Epoch 70  Loss:656017.0
Epoch 80  Loss:647162.5
Epoch 90  Loss:639888.6875
Epoch 100  Loss:635796.0625
Epoch 110  Loss:629832.4375
Epoch 120  Loss:625511.625
Epoch 130  Loss:621264.8125
Epoch 140  Loss:618354.375
Epoch 150  Loss:615478.125
Epoch 160  Loss:613338.3125
Epoch 170  Loss:611435.8125
Epoch 180  Loss:609221.5
Epoch 190  Loss:608285.8125
Epoch 200  Loss:605742.75
Epoch 210  Loss:604017.375
Epoch 220  Loss:602989.875
Epoch 224  Loss:602016.0625
Completed training with lowest loss: 602016.0625 reached at EPOCH: 224; Time: 29.142606031894683
done latent_dim 256
done
